Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6	Sensor7	Sensor8	CO	C6H6	NOx	NO2
1018	1088	909	1677	795	30.3	22.8	0.9695	1.4	13.1	127	120
1060	1122	863	1721	836	30.9	24.4	1.0724	1.5	14.2	116	119
1071	1110	864	1733	847	30.5	26.2	1.1278	1	13.8	124	121
1006	1054	921	1636	769	30.7	23.4	1.0150	1.2	12.1	115	111
1104	1171	827	1803	968	28.1	29.8	1.1132	1.8	15.7	150	128
1196	1336	739	1971	1157	26.9	32.2	1.1267	3	21.4	221	159
1243	1429	687	2093	1367	26.0	34.6	1.1485	3.5	25.0	227	161
1124	1199	794	1858	1101	24.5	37.7	1.1454	2.4	16.6	156	116
1020	1003	904	1716	916	21.7	46.9	1.2044	1.1	10.7	97	96
1035	878	977	1694	825	19.3	68.8	1.5190	0.8	7.5	78	69
986	781	1063	1633	693	17.6	81.6	1.6296	0.4	5.3	60	58
1017	834	986	1676	734	17.8	80.3	1.6212	0.6	6.5	61	59
922	750	1085	1585	685	18.6	75.7	1.6074	0.3	4.7	46	45
854	613	1272	1515	565	16.8	81.3	1.5452	0.1	2.4	39	41
985	816	987	1677	799	17.3	78.6	1.5412	0.3	6.1	107	65
1225	1067	760	1922	1102	16.9	80.9	1.5472	1.4	12.5	190	94
1313	1283	671	2180	1299	17.1	79.8	1.5420	2.7	19.5	236	100
1199	1156	758	1958	1272	18.5	70.3	1.4826	2.3	15.2	227	103
1182	1051	829	1870	1206	19.6	66.7	1.5023	1.8	12.0	211	89
1173	1063	814	1905	1218	20.4	63.1	1.4969	1.6	12.4	201	86
1259	1178	722	2060	1367	21.6	61.8	1.5775	1.9	15.9	191	89
1263	1171	759	2029	1290	24.0	49.3	1.4509	2.5	15.7	192	88
1156	1100	800	1884	1175	25.7	43.8	1.4262	1.6	13.5	143	73
1167	1065	808	1886	1139	24.6	47.5	1.4487	1.5	12.4	148	78
1278	1213	733	2041	1293	24.8	47.4	1.4628	2.5	17.1	183	95
1342	1351	657	2201	1419	23.7	50.5	1.4636	3.6	22.0	216	109
1353	1292	683	2178	1326	23.0	53.8	1.4968	4	19.9	184	95
1501	1501	588	2486	1517	21.5	65.8	1.6688	4.8	27.9	248	101
1355	1289	678	2158	1391	21.0	66.9	1.6436	3.7	19.7	221	88
1230	1169	737	2020	1275	20.6	68.1	1.6329	2.1	15.7	159	77
1148	1048	822	1883	1168	20.5	66.9	1.5914	1.6	12.0	136	75
1171	1088	822	1889	1132	20.2	65.2	1.5251	2.2	13.1	168	81
1021	949	927	1764	977	19.5	68.0	1.5269	0.8	9.2	95	57
852	739	1095	1525	837	19.6	54.8	1.2360	0.7	4.5	37	63
858	757	1066	1542	904	19.3	57.3	1.2650	0.7	4.9	57	71
963	894	942	1702	1065	19.7	58.4	1.3254	1.2	7.9	131	91
966	874	969	1682	999	19.8	59.4	1.3554	1.5	7.4	171	95
983	901	954	1691	986	20.9	54.8	1.3387	1.5	8.0	187	96
990	881	985	1685	874	22.4	47.9	1.2817	1.6	7.6	133	81
891	780	1110	1543	689	24.1	41.3	1.2202	1.1	5.3	87	68
883	778	1130	1545	608	25.9	36.9	1.2133	1.1	5.3	61	57
914	900	1010	1596	706	30.7	26.0	1.1287	1.4	8.0	86	68
896	917	1017	1577	704	30.3	25.2	1.0652	1.4	8.4	83	72
841	811	1135	1463	609	30.1	25.4	1.0641	1	6.0	61	62
926	868	1048	1599	687	27.6	35.1	1.2764	1.3	7.3	80	75
1133	984	838	1897	976	26.6	47.6	1.6315	1.9	10.2	110	92
1042	939	917	1744	860	30.4	31.3	1.3331	1.7	9.0	108	89
1124	1118	793	1915	1021	27.8	35.0	1.2820	2.3	14.0	134	105
1157	1183	738	1970	1079	26.6	37.9	1.2994	2.4	16.1	133	111
989	906	954	1681	826	23.4	44.4	1.2646	1.8	8.2	118	102
841	699	1123	1508	558	23.0	51.1	1.4175	1	3.8	17	30
916	791	1007	1588	679	22.1	53.5	1.4087	0.8	5.6	26	43
1008	900	907	1681	850	21.6	53.6	1.3674	1.7	8.0	55	67
895	792	975	1574	733	21.9	52.7	1.3650	1.1	5.6	39	58
810	702	1093	1529	612	21.3	54.9	1.3707	1	3.8	15	24
968	840	891	1727	788	17.5	79.1	1.5709	1.1	6.6	47	58
892	773	926	1660	724	17.1	81.8	1.5816	1	5.2	49	62
806	615	1172	1525	543	16.6	80.2	1.5002	0.5	2.4	21	34
827	659	1115	1552	616	16.8	77.4	1.4739	0.7	3.1	33	46
881	776	1037	1623	677	18.3	66.5	1.3810	1	5.2	63	62
877	808	1011	1614	723	20.4	55.8	1.3196	1.2	5.9	73	70
784	638	1314	1412	529	21.6	45.3	1.1533	0.7	2.8	51	54
806	675	1270	1414	528	23.1	39.4	1.0983	0.9	3.4	61	61
775	653	1349	1365	491	25.4	31.6	1.0058	0.8	3.0	52	53
773	676	1331	1374	489	26.6	29.0	0.9928	0.8	3.4	49	49
734	603	1471	1303	450	25.9	28.8	0.9475	0.5	2.3	40	48
757	635	1445	1345	451	27.0	28.0	0.9810	0.5	2.7	36	45
817	688	1299	1435	512	23.6	38.1	1.0917	0.7	3.6	51	60
815	720	1225	1418	525	25.9	32.0	1.0529	0.9	4.2	56	59
844	757	1186	1445	556	26.3	31.5	1.0643	1	4.9	71	67
880	807	1123	1510	599	23.9	36.8	1.0774	1.2	5.9	79	72
906	838	1084	1547	694	23.7	36.8	1.0609	1.3	6.6	117	88
904	882	1048	1549	744	22.5	37.8	1.0157	1.6	7.6	127	94
877	858	1080	1535	724	21.8	39.2	1.0115	1.4	7.0	118	89
918	879	1030	1569	804	20.9	42.6	1.0400	2	7.5	130	96
930	914	991	1631	862	20.0	45.6	1.0555	1.7	8.4	131	98
870	858	1061	1557	811	19.3	47.9	1.0590	1.4	7.0	102	95
793	703	1222	1439	627	18.7	49.0	1.0462	0.8	3.9	48	64
760	626	1263	1386	575	17.8	54.1	1.0938	0.4	2.6	22	38
732	613	1273	1413	605	18.2	54.1	1.1155	0.5	2.4	44	40
933	962	867	1705	974	17.3	57.6	1.1289	1.5	9.6	167	76
1061	1162	777	1898	1132	19.9	49.4	1.1354	2.6	15.4	220	90
1201	1428	664	2249	1378	21.7	44.2	1.1321	4.3	25.0	285	118
1065	1151	801	1894	1160	23.5	40.0	1.1386	3.1	15.1	272	118
1075	1222	774	1943	1213	28.4	29.7	1.1345	2.9	17.4	238	122
998	1119	832	1780	1057	31.6	24.1	1.0994	2.5	14.1	207	120
922	1042	887	1744	832	31.3	24.1	1.0816	1.9	11.8	152	132
1023	1147	829	1842	983	34.4	20.4	1.0857	2.5	14.9	185	115
1039	1180	833	1815	1047	33.7	21.3	1.0988	2.5	16.0	184	127
1054	1195	815	1848	1078	35.9	18.9	1.0999	2.8	16.5	205	126
1022	1155	871	1840	979	34.3	19.4	1.0279	2.3	15.2	172	113
1082	1266	788	1910	1139	33.5	19.9	1.0112	3.3	18.9	227	124
1056	1268	786	1896	1111	30.5	24.2	1.0386	2.8	19.0	187	108
1243	1524	647	2281	1470	30.3	26.2	1.1161	4.8	28.9	290	142
1029	1097	825	1827	980	27.0	36.7	1.2898	2.5	13.4	155	125
1004	1011	867	1754	893	24.6	41.9	1.2752	2	10.9	108	116
979	937	919	1683	858	23.3	44.5	1.2566	1.8	8.9	94	101
972	919	934	1668	904	22.4	46.9	1.2544	1.7	8.5	103	101
942	846	980	1615	905	21.7	50.8	1.3019	1	6.7	78	92
825	720	1129	1511	678	21.0	51.9	1.2794	0.7	4.2	38	55
780	621	1277	1452	586	20.5	54.3	1.2926	0.5	2.5	26	42
734	538	1449	1400	514	21.0	53.1	1.3031	0.3	1.4	19	30
785	640	1265	1467	588	19.6	57.1	1.2851	0.5	2.8	35	40
946	931	917	1745	884	18.2	62.3	1.2903	1.4	8.8	126	69
1201	1279	683	2144	1338	19.5	57.7	1.2966	3.3	19.4	309	100
1377	1688	525	2746	1708	21.6	51.7	1.3130	5.8	36.1	376	125
1346	1481	602	2367	1681	23.9	44.4	1.3029	5	27.1	441	174
1230	1268	698	2049	1509	28.1	35.2	1.3120	3.5	19.0	309	171
1160	1208	728	1925	1330	31.4	28.6	1.2980	2.9	16.9	220	149
1146	1171	761	1902	1138	33.7	25.5	1.3095	2.5	15.7	168	124
1078	1121	818	1806	963	35.9	20.8	1.2103	2.3	14.1	149	119
1111	1194	794	1875	1015	37.5	18.1	1.1529	2.4	16.5	160	130
1083	1141	825	1793	1008	37.7	17.7	1.1383	2.6	14.8	177	143
1220	1334	695	2066	1215	36.6	20.6	1.2445	3.5	21.4	176	183
1268	1393	650	2144	1334	32.5	26.0	1.2502	3.9	23.6	202	161
1256	1430	660	2151	1380	30.8	27.2	1.1832	4.5	25.0	255	170
1213	1341	683	2090	1601	28.8	30.2	1.1761	3.8	21.6	210	143
1145	1170	751	1894	1376	26.7	35.4	1.2233	2.8	15.7	157	123
1050	1011	836	1739	1161	25.3	40.7	1.2910	1.7	10.9	96	89
972	902	933	1647	878	24.9	41.2	1.2809	1.2	8.1	59	67
1020	984	853	1753	1031	23.7	45.1	1.3033	1.6	10.2	81	81
934	878	940	1644	847	22.5	49.0	1.3151	1	7.5	40	54
914	801	965	1609	908	22.3	50.6	1.3486	1	5.8	42	57
817	672	1113	1501	751	20.8	54.4	1.3229	0.5	3.3	31	51
833	708	1084	1525	799	20.3	56.0	1.3204	0.5	4.0	54	58
935	905	899	1675	954	20.5	54.8	1.3073	1	8.1	88	69
1297	1359	630	2214	1425	21.7	50.6	1.2981	3.5	22.3	261	107
1496	1705	507	2691	2147	23.4	46.1	1.3091	6.4	36.9	357	151
1201	1224	701	1987	1532	25.1	43.0	1.3488	2.9	17.5	265	146
1267	1276	676	2059	1570	30.1	32.8	1.3795	3.4	19.3	247	165
1224	1228	711	1972	1380	34.7	25.9	1.4069	2.8	17.6	189	159
1247	1257	701	2000	1337	37.2	23.2	1.4478	2.8	18.6	168	174
1183	1241	721	1937	1308	39.5	18.3	1.2917	2.8	18.0	183	167
1078	1116	815	1761	1013	40.6	15.3	1.1485	2.3	14.0	157	137
1076	1012	894	1665	816	40.3	16.1	1.1896	1.8	10.9	113	116
1052	1019	896	1610	836	40.3	14.2	1.0494	2	11.1	140	125
1287	1340	699	2008	1267	39.6	16.7	1.1867	3.5	21.6	230	194
1460	1493	586	2288	1649	37.3	23.4	1.4672	4.9	27.6	277	222
1357	1445	620	2195	1622	33.7	27.7	1.4213	4.6	25.6	295	206
1234	1257	695	2019	1349	30.7	32.2	1.3983	3.4	18.6	212	162
1151	1154	747	1894	1186	28.4	35.7	1.3549	2.7	15.2	151	132
1065	1038	805	1763	1026	26.5	38.6	1.3154	1.9	11.7	110	107
984	929	917	1654	817	25.4	40.1	1.2822	1.5	8.7	83	84
938	881	956	1607	662	24.1	43.3	1.2839	1	7.6	48	61
878	774	1065	1527	552	23.9	45.6	1.3328	0.7	5.2	27	42
919	807	967	1598	775	22.0	52.8	1.3752	1	5.9	48	66
872	782	1001	1607	874	19.5	59.4	1.3328	1	5.4	75	76
949	929	887	1711	973	20.0	56.6	1.3095	1.2	8.7	101	78
1227	1292	661	2087	1327	21.7	53.9	1.3848	2.9	19.9	214	104
1360	1561	545	2525	1626	23.7	49.0	1.4152	4.8	30.4	290	139
1318	1420	586	2316	1640	25.9	44.3	1.4544	4.3	24.6	311	166
1196	1208	705	1981	1341	30.1	34.3	1.4414	3.1	16.9	234	151
1152	1102	770	1868	1113	33.5	27.2	1.3859	2.4	13.6	157	134
1220	1157	715	1935	1224	35.4	26.1	1.4806	2.8	15.3	165	148
1182	1120	735	1893	1095	37.9	23.2	1.5020	2.5	14.1	137	126
1167	1210	719	1944	1152	39.7	18.7	1.3306	2.6	17.0	149	144
1142	1109	782	1789	1047	40.4	17.2	1.2774	2.3	13.8	140	133
1157	1105	779	1792	982	40.0	18.8	1.3630	2.4	13.6	139	139
1274	1329	670	2054	1320	38.9	18.8	1.2900	3.5	21.2	221	178
1372	1451	631	2183	1541	35.8	22.1	1.2792	4.8	25.9	318	206
1373	1440	635	2183	1510	33.1	25.9	1.2923	5.1	25.4	363	211
1290	1393	655	2146	1511	30.9	28.2	1.2388	4.7	23.6	341	180
1056	1051	826	1758	1078	27.5	32.6	1.1760	2.4	12.0	163	116
1116	1123	768	1826	1235	26.3	34.3	1.1605	2.5	14.2	157	118
1106	1122	783	1813	1202	25.5	34.1	1.0968	2.7	14.2	202	115
1018	992	839	1710	1103	24.7	39.3	1.2065	1.5	10.4	102	96
919	880	915	1628	1013	24.2	39.5	1.1764	1.1	7.5	70	86
807	681	1092	1435	765	24.8	37.8	1.1639	0.6	3.5	41	65
789	623	1146	1407	663	22.0	44.3	1.1553	0.4	2.6	36	53
825	709	1050	1491	813	19.3	51.4	1.1364	0.6	4.0	68	74
912	858	923	1608	894	19.8	50.4	1.1525	1	7.0	92	69
1339	1425	595	2264	1495	20.5	48.2	1.1474	4.6	24.8	332	131
1355	1526	567	2397	1658	22.8	42.7	1.1667	4.8	28.9	333	134
1250	1336	632	2104	1506	25.6	35.8	1.1548	4	21.5	298	148
1096	1087	801	1759	910	35.9	19.6	1.1422	2	13.1	120	111
1093	1094	797	1769	912	37.2	18.2	1.1389	2	13.3	108	110
1027	1066	837	1689	814	37.3	16.6	1.0435	1.9	12.5	109	110
1026	1085	848	1654	1341	37.4	14.9	0.9413	1.9	13.0	124	116
1015	1062	877	1668	847	36.4	15.1	0.9005	1.9	12.3	127	120
1028	1155	832	1691	925	35.4	14.7	0.8323	2.6	15.2	185	142
1074	1270	776	1833	1087	34.2	14.2	0.7502	3.2	19.1	230	146
1124	1289	765	1863	1132	31.1	18.7	0.8302	3.4	19.7	265	153
1111	1256	765	1851	1197	29.1	22.0	0.8702	3.4	18.6	261	158
1062	1183	794	1731	1229	27.2	22.5	0.7962	2.9	16.1	219	140
1072	1148	805	1683	1171	25.3	24.6	0.7796	2.7	15.0	180	127
936	871	990	1430	921	24.9	27.2	0.8429	1.3	7.3	108	97
988	937	894	1543	1008	23.5	32.2	0.9220	1.3	8.9	98	91
924	839	957	1453	849	23.5	32.7	0.9349	0.9	6.6	57	68
839	725	1052	1368	668	24.1	32.0	0.9467	0.6	4.3	36	52
853	716	1047	1414	707	20.8	40.2	0.9725	0.5	4.1	45	58
918	810	936	1524	939	18.8	46.6	1.0027	0.9	6.0	87	78
890	791	950	1489	886	19.8	46.0	1.0524	0.7	5.6	62	61
865	752	996	1451	837	21.3	42.3	1.0625	0.6	4.8	65	64
1003	937	850	1622	1005	21.3	41.8	1.0449	1.3	8.9	125	81
1123	1088	746	1789	1191	24.0	36.6	1.0772	2	13.1	157	92
1146	1119	746	1823	1200	27.2	30.7	1.0884	2.1	14.1	171	101
1110	1021	820	1724	971	32.3	23.6	1.1271	1.8	11.2	119	96
1126	979	849	1700	907	31.9	25.8	1.2023	1.8	10.0	110	101
1067	962	860	1658	802	35.1	21.8	1.2093	1.6	9.6	95	91
1008	866	937	1573	695	36.0	20.5	1.1995	1.2	7.2	58	68
1062	924	892	1683	777	37.0	20.1	1.2423	1.2	8.6	69	76
1082	939	869	1678	818	36.4	21.0	1.2515	1.4	9.0	76	84
1042	897	901	1605	681	35.2	22.6	1.2670	1.3	7.9	63	76
1022	823	964	1599	631	32.5	27.6	1.3229	1.1	6.2	51	61
1024	828	936	1601	641	29.1	35.1	1.3919	1.1	6.3	46	52
1048	828	922	1618	683	26.9	39.7	1.3898	1.1	6.3	52	59
1153	1022	765	1806	1013	26.1	42.2	1.4039	1.8	11.2	84	89
1195	1077	731	1860	1151	25.5	43.8	1.4095	2.3	12.8	130	113
1245	1091	734	1870	1134	24.9	45.6	1.4135	2.6	13.2	147	112
1086	946	847	1729	945	25.2	45.2	1.4262	2	9.2	126	89
972	804	955	1620	734	25.4	45.5	1.4570	1	5.8	47	53
880	677	1109	1500	554	26.2	43.6	1.4599	0.6	3.4	24	36
879	658	1121	1511	564	24.4	48.3	1.4499	0.5	3.1	25	39
842	597	1237	1444	512	23.3	51.0	1.4346	0.4	2.2	21	33
797	543	1466	1347	410	21.6	48.1	1.2259	0.4	1.5	25	37
796	526	1534	1322	392	21.4	47.8	1.2005	0.4	1.3	25	36
767	520	1526	1287	377	20.5	46.8	1.1152	0.4	1.2	30	42
784	562	1460	1286	389	20.8	40.7	0.9882	0.5	1.7	42	52
811	622	1315	1307	432	22.3	35.3	0.9371	1	2.5	52	60
838	620	1292	1325	502	21.7	38.3	0.9842	0.7	2.5	62	74
821	632	1295	1302	469	24.4	29.6	0.8921	0.7	2.7	67	65
793	579	1380	1303	427	23.4	34.9	0.9910	0.6	1.9	47	52
794	567	1426	1306	406	23.5	35.2	1.0019	0.5	1.8	35	40
821	614	1309	1350	430	22.4	39.0	1.0400	0.6	2.4	45	49
849	628	1274	1379	453	22.0	41.7	1.0865	0.8	2.6	53	56
852	651	1246	1387	470	21.7	42.7	1.0949	0.8	3.0	57	59
847	645	1245	1364	480	20.7	43.4	1.0470	1	2.9	71	68
849	682	1215	1378	472	20.3	42.6	1.0045	1	3.5	67	72
865	687	1191	1388	521	20.3	44.1	1.0392	1	3.6	75	78
848	689	1180	1403	520	20.1	45.2	1.0538	0.9	3.6	65	71
807	606	1340	1337	440	19.8	45.7	1.0424	0.7	2.3	45	54
814	627	1305	1351	446	19.6	45.3	1.0244	0.8	2.6	46	57
785	582	1377	1311	417	19.4	45.9	1.0242	0.7	2.0	33	45
748	515	1580	1261	381	19.7	44.8	1.0172	0.5	1.2	19	30
716	461	1795	1235	350	19.5	46.3	1.0363	0.3	0.7	9	16
748	477	1703	1301	380	19.1	52.7	1.1545	0.3	0.8	21	28
888	683	1196	1483	563	20.3	49.3	1.1596	0.7	3.5	66	62
973	858	941	1584	779	21.1	46.2	1.1389	1.5	7.0	137	92
993	927	886	1665	842	21.5	44.5	1.1290	1.8	8.7	151	96
929	825	992	1561	692	22.4	43.6	1.1637	1.4	6.3	115	87
962	858	941	1613	779	24.8	39.1	1.2039	1.5	7.0	118	84
906	786	1026	1538	633	23.9	42.1	1.2335	1.2	5.5	95	73
915	776	1029	1544	616	25.5	38.3	1.2328	1	5.3	86	72
928	787	1012	1585	606	25.4	39.2	1.2534	1.3	5.5	85	68
855	698	1134	1449	526	25.6	37.0	1.2006	1	3.8	66	62
920	783	1046	1550	588	24.5	38.4	1.1669	1.4	5.4	74	70
917	842	985	1563	674	23.9	39.9	1.1639	1.6	6.7	108	83
1072	1057	812	1820	885	24.2	39.2	1.1665	2.7	12.2	150	92
1000	985	846	1726	879	23.5	41.2	1.1759	2.3	10.2	157	103
914	845	972	1583	703	22.3	44.9	1.1973	1.5	6.7	93	82
888	799	1023	1531	637	21.7	46.5	1.1917	1.4	5.7	76	74
851	718	1134	1471	561	22.0	44.9	1.1699	1	4.1	57	67
870	749	1096	1487	612	22.2	44.1	1.1654	1.1	4.7	64	74
883	773	1062	1514	621	21.8	45.6	1.1763	1.2	5.2	59	72
886	767	1055	1532	702	21.6	46.0	1.1742	1.2	5.1	68	79
792	637	1249	1400	559	21.6	45.8	1.1715	0.7	2.8	31	43
754	535	1490	1335	435	20.7	48.3	1.1680	0.5	1.4	21	33
770	586	1326	1392	527	20.8	48.5	1.1800	0.4	2.0	24	38
797	654	1097	1450	720	20.8	49.4	1.1994	0.5	3.0	38	51
915	877	897	1651	937	19.9	51.8	1.1911	1	7.5	92	69
1287	1423	610	2319	1482	20.9	49.3	1.2049	4.4	24.7	311	116
1195	1424	609	2244	1489	23.7	39.9	1.1508	4	24.8	260	119
1003	1009	823	1710	1015	25.3	35.8	1.1421	2.4	10.9	181	96
1037	1046	838	1763	1004	28.8	29.1	1.1349	2.1	11.9	177	109
1114	1181	747	1928	1129	30.3	26.9	1.1399	2.7	16.0	180	115
1085	1171	767	1863	1068	32.8	23.3	1.1380	2.8	15.7	174	118
1024	1087	824	1745	924	33.9	21.4	1.1135	2	13.1	140	118
1017	1057	859	1698	861	35.3	19.6	1.1036	2	12.2	122	112
1053	1173	785	1808	981	34.0	20.8	1.0898	2.6	15.8	189	140
1065	1198	766	1852	1043	35.3	18.8	1.0572	2.7	16.6	169	137
1136	1250	722	1940	1124	32.6	24.1	1.1688	3.1	18.4	172	143
1100	1202	732	1856	1004	30.8	28.7	1.2507	3.1	16.7	154	148
1143	1319	673	2001	1190	28.7	31.2	1.2099	3.6	20.8	192	158
1083	1157	742	1884	1072	26.8	35.1	1.2201	2.9	15.3	160	127
1009	1034	806	1763	925	25.3	39.4	1.2524	2.2	11.5	110	109
969	983	853	1680	862	23.9	40.9	1.1966	2	10.1	97	101
1029	993	816	1728	969	23.0	44.4	1.2354	2.1	10.4	124	114
1064	956	812	1770	932	22.2	53.9	1.4237	1.9	9.4	108	104
986	853	865	1645	794	20.9	59.8	1.4659	1.4	6.9	61	81
872	709	1034	1522	599	21.3	58.1	1.4570	0.8	4.0	34	51
812	626	1134	1471	625	20.3	58.9	1.3878	0.6	2.6	24	40
810	612	1163	1462	595	21.3	54.5	1.3682	0.5	2.4	27	34
936	849	882	1640	886	20.6	57.4	1.3753	1	6.8	70	61
1244	1265	640	2084	1257	21.3	56.9	1.4226	2.7	18.9	176	95
1440	1556	517	2530	1561	22.9	52.4	1.4442	5	30.2	310	142
1180	1145	713	1929	1191	24.1	46.5	1.3802	3.3	14.9	221	128
1126	1058	765	1879	1061	27.1	38.8	1.3705	2.4	12.2	168	115
1005	910	881	1670	751	28.4	34.4	1.3140	1.7	8.3	109	84
1032	940	862	1703	733	30.1	30.9	1.2958	1.7	9.0	102	85
1087	1106	755	1839	906	32.7	25.8	1.2547	2	13.7	129	110
1090	1119	756	1811	902	32.4	25.7	1.2271	2	14.1	117	107
1072	1050	802	1748	836	33.6	24.4	1.2472	2.2	12.0	112	107
1101	1057	797	1772	863	33.0	26.0	1.2877	2.3	12.2	122	113
1111	1086	787	1802	824	33.2	23.7	1.1855	2.6	13.1	114	107
1048	1070	807	1737	842	31.3	25.4	1.1415	2.3	12.6	111	106
1197	1249	698	1986	1132	28.3	31.7	1.1968	3.3	18.3	158	125
1173	1217	695	1930	1175	26.5	35.0	1.1981	3.5	17.2	202	139
1075	1079	764	1798	1111	24.4	40.0	1.2079	2.5	12.9	166	117
1067	1106	745	1840	1125	23.3	43.4	1.2251	2.5	13.7	143	107
1060	1099	742	1838	1077	22.5	45.3	1.2226	2.4	13.4	122	98
1081	1099	749	1854	1087	21.8	47.8	1.2325	2.5	13.5	113	97
1017	975	822	1722	1014	20.9	51.0	1.2446	2.1	9.9	109	95
836	734	1035	1501	801	20.8	51.7	1.2572	1	4.4	53	68
798	677	1092	1473	696	20.2	53.8	1.2569	0.5	3.4	35	44
966	951	812	1735	996	18.3	60.8	1.2635	1.3	9.3	123	77
1277	1388	611	2241	1513	20.2	54.5	1.2777	3.6	23.4	254	100
1335	1496	562	2385	1598	21.9	49.9	1.2957	4.8	27.7	300	125
1297	1353	588	2128	1690	25.2	43.0	1.3548	3.7	22.1	281	154
1041	979	837	1705	1053	28.0	36.6	1.3603	1.9	10.0	169	125
1027	936	867	1696	931	27.1	38.3	1.3548	1.7	8.9	152	117
1037	969	841	1728	865	27.4	37.0	1.3319	1.9	9.8	127	105
1014	954	865	1697	818	29.4	32.9	1.3244	1.8	9.4	118	103
1007	971	866	1682	802	31.3	28.7	1.2885	2	9.8	120	106
998	958	881	1657	778	31.5	28.7	1.3058	2	9.5	125	107
1014	958	878	1684	767	30.9	30.3	1.3306	2	9.5	117	102
1157	1160	738	1936	1000	31.4	30.3	1.3689	2.8	15.4	166	124
1225	1281	683	2082	1143	30.7	31.4	1.3686	3.6	19.4	180	133
1131	1194	726	1907	1009	29.0	33.4	1.3169	3.3	16.5	172	125
1111	1126	754	1883	1076	27.3	37.5	1.3420	2.9	14.3	160	124
976	909	878	1675	830	25.8	40.9	1.3389	1.7	8.2	103	97
1016	929	868	1724	853	25.2	43.0	1.3580	1.7	8.7	87	94
1177	1156	684	1983	1310	24.6	45.8	1.3940	2.8	15.2	147	120
1013	999	791	1751	1119	24.0	47.3	1.3914	1.8	10.6	120	105
886	813	936	1592	918	23.5	48.3	1.3777	1	6.0	63	81
791	658	1140	1467	609	24.0	45.8	1.3467	0.5	3.1	30	43
740	568	1259	1404	510	22.8	48.1	1.3184	0	1.8	19	32
775	628	1178	1437	554	21.9	50.1	1.3002	0	2.6	27	36
872	833	947	1598	760	20.4	54.1	1.2800	1	6.5	65	59
1123	1134	711	1922	1170	20.8	52.6	1.2758	2	14.5	169	92
1306	1522	535	2450	1545	23	48	1	4	28.8	244	121
1237	1332	605	2157	1508	25	43	1	4	21.3	274	151
1143	1146	701	1917	1292	29	35	1	3	14.9	202	142
1170	1168	703	1949	1287	33	28	1	3	15.6	186	141
1116	1128	739	1856	1042	35	25	1	2	14.3	153	129
1054	1069	785	1766	817	36	23	1	2	12.6	112	106
1083	1097	765	1810	847	38	21	1	2	13.4	117	125
1078	1069	782	1780	806	37	22	1	2	12.6	109	126
1104	1143	747	1840	896	37	22	1	2	14.8	133	147
1170	1257	693	1956	1069	36	23	1	3	18.6	185	180
1091	1201	738	1834	945	33	24	1	3	16.7	167	164
1216	1318	673	2043	1168	30	29	1	4	20.8	218	180
1125	1179	719	1921	1065	29	36	1	3	16.0	171	153
971	881	916	1635	672	27	42	1	2	7.6	78	105
1062	984	816	1796	842	25.2	46.6	1.4733	1.7	10.2	84	98
1140	1109	714	1892	1123	24.7	47.7	1.4649	2.2	13.8	110	107
1038	992	802	1731	1007	24.4	47.4	1.4301	1.6	10.4	87	87
935	836	909	1604	855	23.3	49.9	1.4135	1	6.5	58	80
861	729	1043	1528	689	23.8	47.3	1.3783	0.6	4.3	39	62
850	703	1021	1511	658	21.2	55.0	1.3689	0.6	3.9	38	54
817	651	1109	1472	628	21.7	52.6	1.3500	0.5	3.0	41	56
825	667	1079	1475	659	22.8	48.9	1.3424	0.5	3.2	47	62
921	792	943	1595	799	23.5	47.6	1.3611	1	5.6	72	72
1031	945	806	1697	964	24.6	44.9	1.3661	1	9.1	100	86
1092	967	801	1774	910	27.0	39.9	1.4020	2	9.7	104	99
1095	923	843	1736	999	29.3	35.9	1.4411	2	8.6	109	98
1097	964	822	1743	853	31.2	32.4	1.4517	2	9.6	103	102
1101	972	819	1714	752	34.4	26.6	1.4230	2	9.8	75	84
1060	991	833	1718	778	36.1	22.1	1.3004	2	10.3	72	83
732	544	1353	1367	466	18.9	55.2	1.1895	0	1.5	15	24
809	681	1108	1463	609	18.2	57.6	1.1930	1	3.5	52	43
934	911	857	1639	863	18.6	56.0	1.1865	1	8.3	85	64
1132	1220	691	1910	1203	20.8	48.0	1.1702	3	17.3	177	91
1221	1386	626	2138	1412	23.3	38.6	1.0919	4	23.3	232	109
1024	1111	770	1753	1069	25.1	32.4	1.0170	3	13.8	201	110
938	987	862	1597	817	27.8	25.8	0.9473	2	10.2	134	111
869	897	965	1480	649	29.6	21.0	0.8548	2	7.9	104	106
846	930	947	1467	598	30.2	18.0	0.7613	2	8.8	89	104
838	868	1005	1454	540	30.1	18.5	0.7747	1	7.2	66	76
875	912	978	1504	601	29.5	19.4	0.7872	1	8.3	85	84
907	961	920	1564	668	31.1	18.2	0.8079	2	9.6	105	102
889	939	920	1492	647	30.3	19.0	0.8103	2	9.0	99	102
969	1064	834	1645	816	30.1	19.3	0.8083	2	12.4	132	124
1051	1157	760	1787	963	28.6	22.3	0.8590	3	15.3	186	147
1043	1181	736	1813	1010	26.1	28.3	0.9407	3	16.1	174	138
1043	1121	736	1793	967	24.5	35.7	1.0807	3	14.1	149	126
1007	1027	798	1737	904	23.1	41.5	1.1582	2	11.4	114	112
966	959	838	1686	852	21.8	46.3	1.1913	2	9.5	92	95
